id,column,nulls,cats,distinct cats,distinct nums,nums,min,max,mean,median,ignores,warning,entropy
0,User,0,5523,4496,0,0,,,,,0,,0.994
1,Gender,9,0,0,2,5514,0.0,1.0,0.63,1.0,0,,0.95
2,Term,0,0,0,3,5523,0.0,3.0,1.347,1.0,0,,1.0
3,Course,0,0,0,4,5523,135.0,240.0,180.95,140.0,0,,0.974
4,GPA,0,0,0,250,5523,0.0,8.19,3.011,3.27,0,,0.91
5,Grade_Percent_Reg,251,0,0,87,5272,0.0,102.0,77.785,79.0,0,,0.861
6,BTE_Quad_Reg,674,0,0,74,4849,-4.2,3.9,0.019,0.1,0,,0.855
7,Grade_Want,3369,2154,9,0,0,,,,,0,,0.661
8,Confidence,3369,2154,5,0,0,,,,,0,,0.771
9,Reason_Physics_req,3286,0,0,2,2237,0.0,1.0,0.025,0.0,0,,0.169
10,Reason_Concentration_req,3286,0,0,2,2237,0.0,1.0,0.768,1.0,0,,0.781
11,Reason__Grad_req,3286,0,0,2,2237,0.0,1.0,0.419,0.0,0,,0.981
12,Reason_NS_Credit,3286,0,0,2,2237,0.0,1.0,0.03,0.0,0,,0.194
13,Reason_Interest,3286,0,0,2,2237,0.0,1.0,0.118,0.0,0,,0.522
14,Hours_Exam_Study,3376,0,0,12,2147,0.0,11.0,6.703,6.0,0,,0.897
15,Hours_Outside_Study,3376,0,0,17,2147,0.0,16.0,6.272,6.0,0,,0.823
16,Hours_MP_Study,3376,0,0,15,2147,0.0,16.0,3.72,3.0,0,,0.705
17,Behavior_Goal_Homework,2606,2917,4,0,0,,,,,0,,0.749
18,Behavior_Goal_Lecture,2773,2750,5,0,0,,,,,0,,0.645
19,Behavior_Goal_Exam,2477,3046,5,0,0,,,,,0,,0.694
20,Helproom,3376,2147,6,0,0,,,,,0,,0.914
21,Office_Hours,3378,2018,6,5,127,1.0,5.0,2.693,3.0,0,cats & nums,0.91
22,CSP,3286,2237,4,0,0,,,,,0,,0.728
23,Partner,3376,2147,4,0,0,,,,,0,,0.945
24,Partner_Exam_1_Response,5025,498,4,0,0,,,,,0,,0.87
25,SLC,5131,392,2,0,0,,,,,0,,0.982
26,SLC_Interest,3376,2147,4,0,0,,,,,0,,0.804
27,ECoach_Change_Behavior,5360,163,2,0,0,,,,,0,,0.85
28,HS_Math,3340,0,0,9,2183,1.0,9.0,4.422,4.0,0,,0.729
29,SAT_Math,4884,0,0,28,639,430.0,800.0,726.463,730.0,0,,0.875
30,ACT_Math,3927,0,0,19,1596,15.0,36.0,31.57,32.0,0,,0.835
31,HS_Physics,3283,0,0,3,2240,0.0,2.0,1.129,1.0,0,,0.84
32,AP_Exam_B,4257,0,0,2,1266,0.0,1.0,0.16,0.0,0,,0.633
33,AP_Exam_C_Mech,4257,0,0,2,1266,0.0,1.0,0.227,0.0,0,,0.772
34,AP_Exam_C_EM,4257,0,0,2,1266,0.0,1.0,0.076,0.0,0,,0.387
35,AP_Exam_IDK,4257,0,0,2,1266,0.0,1.0,0.016,0.0,0,,0.117
36,AP_Exam_No,4257,0,0,2,1266,0.0,1.0,0.081,0.0,0,,0.407
37,AP_B_Score,4475,0,0,7,1048,-99.0,5.0,0.033,0.0,0,,0.392
38,AP_C_Mech_Score,4420,0,0,7,1103,-99.0,5.0,-0.5,0.0,0,,0.488
39,AP_C_EM_Score,4536,0,0,7,987,-99.0,5.0,0.198,0.0,0,,0.234
40,Semesters_Completed,3332,0,0,8,2191,0.0,7.0,2.506,2.0,0,,0.859
41,College,3233,2290,4,0,0,,,,,0,,0.634
42,Minor_or_Major,5362,161,3,0,0,,,,,0,,0.346
43,Concentrate_Engineering,3276,0,0,2,2247,0.0,1.0,0.391,0.0,0,,0.965
44,Concentrate_Physics,3276,0,0,2,2247,0.0,1.0,0.04,0.0,0,,0.245
45,Concentrate_Chemistry,3276,0,0,2,2247,0.0,1.0,0.091,0.0,0,,0.439
46,Concentrate_Biology,3276,0,0,2,2247,0.0,1.0,0.138,0.0,0,,0.579
47,Concentrate_Biology_MCDB,3276,0,0,2,2247,0.0,1.0,0.099,0.0,0,,0.467
48,Concentrate_Biology_EEB,3276,0,0,2,2247,0.0,1.0,0.028,0.0,0,,0.182
49,Concentrate_Health,3276,0,0,2,2247,0.0,1.0,0.164,0.0,0,,0.643
50,Concentrate_Humanities,3276,0,0,2,2247,0.0,1.0,0.031,0.0,0,,0.2
51,Concentrate_Math,3276,0,0,2,2247,0.0,1.0,0.046,0.0,0,,0.27
52,Concentrate_Neurosci,3276,0,0,2,2247,0.0,1.0,0.15,0.0,0,,0.611
53,Concentrate_Social_Science_not_Psych,3276,0,0,2,2247,0.0,1.0,0.03,0.0,0,,0.193
54,Concentrate_Psych_BBCS,3276,0,0,2,2247,0.0,1.0,0.067,0.0,0,,0.355
55,Concentrate_IDK,3276,0,0,2,2247,0.0,1.0,0.034,0.0,0,,0.213
56,Post_College,3276,2247,8,0,0,,,,,0,,0.758
57,Employment,3283,2240,3,0,0,,,,,0,,0.671
58,Parent_Ed,3276,2247,8,0,0,,,,,0,,0.84
59,Memorize_personal,3289,2234,5,0,0,,,,,0,,0.872
60,Math_Confidence,3289,2234,5,0,0,,,,,0,,0.81
61,Trust_Calculation,3289,2234,5,0,0,,,,,0,,0.638
62,Hard_work_personal_cant_solve,3289,2234,5,0,0,,,,,0,,0.868
63,Innate,3290,2233,5,0,0,,,,,0,,0.774
64,Memorize_general,3289,2234,5,0,0,,,,,0,,0.792
65,Recall_Formula,3289,2234,5,0,0,,,,,0,,0.831
66,Apply_Principles,3289,2234,5,0,0,,,,,0,,0.686
67,Hard_work_personal_understand,3289,2234,5,0,0,,,,,0,,0.865
68,Values_Aff_Art,3283,0,0,2,2240,0.0,1.0,0.009,0.0,0,,0.074
69,Values_Aff_Creativity,3283,0,0,2,2240,0.0,1.0,0.117,0.0,0,,0.521
70,Values_Aff_Relationships,3283,0,0,2,2240,0.0,1.0,0.843,1.0,0,,0.627
71,Values_Aff_Government,3283,0,0,2,2240,0.0,1.0,0.013,0.0,0,,0.103
72,Values_Aff_Independence,3283,0,0,2,2240,0.0,1.0,0.25,0.0,0,,0.811
73,Values_Aff_Learning,3283,0,0,2,2240,0.0,1.0,0.65,1.0,0,,0.934
74,Values_Aff_Athletic,3283,0,0,2,2240,0.0,1.0,0.147,0.0,0,,0.603
75,Values_Aff_Social,3283,0,0,2,2240,0.0,1.0,0.137,0.0,0,,0.575
76,Values_Aff_Music,3283,0,0,2,2240,0.0,1.0,0.118,0.0,0,,0.524
77,Values_Aff_Career,3283,0,0,2,2240,0.0,1.0,0.304,0.0,0,,0.886
78,Values_Aff_Spiritual,3283,0,0,2,2240,0.0,1.0,0.179,0.0,0,,0.678
79,Values_Aff_Humor,3283,0,0,2,2240,0.0,1.0,0.254,0.0,0,,0.818
80,Involved_In_Greek,3283,0,0,2,2240,0.0,1.0,0.17,0.0,0,,0.658
81,Involved_In_Sports,3283,0,0,2,2240,0.0,1.0,0.263,0.0,0,,0.83
82,Involved_In_Religious,3283,0,0,2,2240,0.0,1.0,0.162,0.0,0,,0.638
83,Involved_In_Research,3283,0,0,2,2240,0.0,1.0,0.317,0.0,0,,0.901
84,Involved_In_Volunteering,3283,0,0,2,2240,0.0,1.0,0.412,0.0,0,,0.977
85,Involved_In_Music_Art,3283,0,0,2,2240,0.0,1.0,0.131,0.0,0,,0.56
86,Involved_In_Other,3283,0,0,2,2240,0.0,1.0,0.508,1.0,0,,1.0
87,Enrolled,0,0,0,2,5523,0.0,1.0,0.404,0.0,0,,0.974
88,Sum_Clicks_All,0,0,0,119,5523,0.0,172.0,11.548,1.0,0,,0.575
89,Weeks_Visited_All,0,0,0,15,5523,0.0,14.0,1.553,1.0,0,,0.615
90,filter_$,0,0,0,2,5523,0.0,1.0,0.404,0.0,0,,0.974
91,UserGroups,0,0,0,4,5523,0.0,3.0,0.753,0.0,0,,0.803
92,UserGroups_onlyusers,3289,0,0,3,2234,1.0,3.0,1.863,2.0,0,,0.987
